Date/Time,MAINZONE:Zone Mean Air Temperature [C](Hourly),MAINZONE:Zone Air Temperature [C](Hourly) 
 06/24  01:00:00,20.777940305054848,20.777940305054848 
 06/24  02:00:00,20.59694010092977,20.59694010092977 
 06/24  03:00:00,20.390932319178276,20.390932319178276 
 06/24  04:00:00,20.196050649358508,20.196050649358508 
 06/24  05:00:00,19.972386211015813,19.972386211015813 
 06/24  06:00:00,19.831182518666502,19.831182518666502 
 06/24  07:00:00,19.825686447655862,19.825686447655862 
 06/24  08:00:00,19.8834726773364,19.8834726773364 
 06/24  09:00:00,19.98513689919103,19.98513689919103 
 06/24  10:00:00,20.109528708162102,20.109528708162102 
 06/24  11:00:00,20.186797970777942,20.186797970777942 
 06/24  12:00:00,20.29875985666341,20.29875985666341 
 06/24  13:00:00,20.446996097675047,20.446996097675047 
 06/24  14:00:00,20.786623613338993,20.786623613338993 
 06/24  15:00:00,21.30636370465599,21.30636370465599 
 06/24  16:00:00,21.6960588557956,21.6960588557956 
 06/24  17:00:00,21.982383895922737,21.982383895922737 
 06/24  18:00:00,22.154968929080628,22.154968929080628 
 06/24  19:00:00,22.21176240627468,22.21176240627468 
 06/24  20:00:00,22.06919323910276,22.06919323910276 
 06/24  21:00:00,21.793442590760677,21.793442590760677 
 06/24  22:00:00,21.52769917623758,21.52769917623758 
 06/24  23:00:00,21.283000426487963,21.283000426487963 
 06/24  24:00:00,20.99149482550078,20.99149482550078 
