Date/Time,MAINZONE:Zone Mean Air Temperature [C](Hourly),MAINZONE:Zone Air Temperature [C](Hourly) 
 06/26  01:00:00,21.58004435623518,21.58004435623518 
 06/26  02:00:00,20.950158886029307,20.950158886029307 
 06/26  03:00:00,20.380625245125763,20.380625245125763 
 06/26  04:00:00,19.865237377404707,19.865237377404707 
 06/26  05:00:00,19.384694943925215,19.384694943925215 
 06/26  06:00:00,19.057726366204008,19.057726366204008 
 06/26  07:00:00,18.92725871972615,18.92725871972615 
 06/26  08:00:00,18.920717674843917,18.920717674843917 
 06/26  09:00:00,19.147021217972405,19.147021217972405 
 06/26  10:00:00,19.698132132604286,19.698132132604286 
 06/26  11:00:00,20.440557400623973,20.440557400623973 
 06/26  12:00:00,21.23858867691613,21.23858867691613 
 06/26  13:00:00,22.04936729353792,22.04936729353792 
 06/26  14:00:00,22.788488488455375,22.788488488455375 
 06/26  15:00:00,23.465342172261725,23.465342172261725 
 06/26  16:00:00,24.022122882538397,24.022122882538397 
 06/26  17:00:00,24.372205575489673,24.372205575489673 
 06/26  18:00:00,24.526447963183593,24.526447963183593 
 06/26  19:00:00,24.516931148817367,24.516931148817367 
 06/26  20:00:00,24.249974211471077,24.249974211471077 
 06/26  21:00:00,23.853048718127734,23.853048718127734 
 06/26  22:00:00,23.39121968248608,23.39121968248608 
 06/26  23:00:00,22.8381425182129,22.8381425182129 
 06/26  24:00:00,22.23404527890226,22.23404527890226 
