Date/Time,MAINZONE:Zone Mean Air Temperature [C](Hourly),MAINZONE:Zone Air Temperature [C](Hourly) 
 06/26  01:00:00,21.66254156654812,21.66254156654812 
 06/26  02:00:00,21.037740158719636,21.037740158719636 
 06/26  03:00:00,20.47080011016441,20.47080011016441 
 06/26  04:00:00,19.955876835391745,19.955876835391745 
 06/26  05:00:00,19.47542947294501,19.47542947294501 
 06/26  06:00:00,19.137619000588483,19.137619000588483 
 06/26  07:00:00,18.99245635430694,18.99245635430694 
 06/26  08:00:00,18.975043050965574,18.975043050965574 
 06/26  09:00:00,19.191161272733424,19.191161272733424 
 06/26  10:00:00,19.73220415977741,19.73220415977741 
 06/26  11:00:00,20.465863202753408,20.465863202753408 
 06/26  12:00:00,21.259098160199166,21.259098160199166 
 06/26  13:00:00,22.066510328581437,22.066510328581437 
 06/26  14:00:00,22.803799491274265,22.803799491274265 
 06/26  15:00:00,23.479591458186334,23.479591458186334 
 06/26  16:00:00,24.036883163286287,24.036883163286287 
 06/26  17:00:00,24.390177878822726,24.390177878822726 
 06/26  18:00:00,24.549823377023944,24.549823377023944 
 06/26  19:00:00,24.54803928727635,24.54803928727635 
 06/26  20:00:00,24.29120508282646,24.29120508282646 
 06/26  21:00:00,23.904864104447938,23.904864104447938 
 06/26  22:00:00,23.45199161001904,23.45199161001904 
 06/26  23:00:00,22.906940245633756,22.906940245633756 
 06/26  24:00:00,22.309837293241,22.309837293241 
