Date/Time,MAINZONE:Zone Mean Air Temperature [C](Hourly),MAINZONE:Zone Air Temperature [C](Hourly) 
 06/26  01:00:00,21.64407192414973,21.64407192414973 
 06/26  02:00:00,21.018141139138383,21.018141139138383 
 06/26  03:00:00,20.450629476658115,20.450629476658115 
 06/26  04:00:00,19.935612425781585,19.935612425781585 
 06/26  05:00:00,19.455154993171032,19.455154993171032 
 06/26  06:00:00,19.11969305674566,19.11969305674566 
 06/26  07:00:00,18.977817087182526,18.977817087182526 
 06/26  08:00:00,18.962814899417026,18.962814899417026 
 06/26  09:00:00,19.181207765528168,19.181207765528168 
 06/26  10:00:00,19.72451119047423,19.72451119047423 
 06/26  11:00:00,20.460150519539344,20.460150519539344 
 06/26  12:00:00,21.254449325152198,21.254449325152198 
 06/26  13:00:00,22.062623622027854,22.062623622027854 
 06/26  14:00:00,22.80032970408149,22.80032970408149 
 06/26  15:00:00,23.47636475700802,23.47636475700802 
 06/26  16:00:00,24.033545910059686,24.033545910059686 
 06/26  17:00:00,24.386123007541407,24.386123007541407 
 06/26  18:00:00,24.54455917377397,24.54455917377397 
 06/26  19:00:00,24.541044495167956,24.541044495167956 
 06/26  20:00:00,24.281948325419854,24.281948325419854 
 06/26  21:00:00,23.893241505422306,23.893241505422306 
 06/26  22:00:00,23.438368681602036,23.438368681602036 
 06/26  23:00:00,22.8915251818659,22.8915251818659 
 06/26  24:00:00,22.29286127971833,22.29286127971833 
