Date/Time,MAINZONE:Zone Mean Air Temperature [C](Hourly),MAINZONE:Zone Air Temperature [C](Hourly) 
 06/26  01:00:00,21.723422310736513,21.723422310736513 
 06/26  02:00:00,21.102316863836013,21.102316863836013 
 06/26  03:00:00,20.537234343650987,20.537234343650987 
 06/26  04:00:00,20.02259075418086,20.02259075418086 
 06/26  05:00:00,19.542159286311,19.542159286311 
 06/26  06:00:00,19.19685166399724,19.19685166399724 
 06/26  07:00:00,19.04089861285534,19.04089861285534 
 06/26  08:00:00,19.015605469504962,19.015605469504962 
 06/26  09:00:00,19.224234064415686,19.224234064415686 
 06/26  10:00:00,19.757787655404016,19.757787655404016 
 06/26  11:00:00,20.484863412002316,20.484863412002316 
 06/26  12:00:00,21.27461123220501,21.27461123220501 
 06/26  13:00:00,22.079474552042765,22.079474552042765 
 06/26  14:00:00,22.81535977323858,22.81535977323858 
 06/26  15:00:00,23.490327508712596,23.490327508712596 
 06/26  16:00:00,24.047967464316798,24.047967464316798 
 06/26  17:00:00,24.40362208571436,24.40362208571436 
 06/26  18:00:00,24.567254039104803,24.567254039104803 
 06/26  19:00:00,24.57117548316847,24.57117548316847 
 06/26  20:00:00,24.321770724941327,24.321770724941327 
 06/26  21:00:00,23.943232653874027,23.943232653874027 
 06/26  22:00:00,23.496941553714635,23.496941553714635 
 06/26  23:00:00,22.95778638228674,22.95778638228674 
 06/26  24:00:00,22.36581673782968,22.36581673782968 
