Date/Time,MAINZONE:Zone Mean Air Temperature [C](Hourly),MAINZONE:Zone Air Temperature [C](Hourly) 
 06/26  01:00:00,21.75654585443589,21.75654585443589 
 06/26  02:00:00,21.137432934603595,21.137432934603595 
 06/26  03:00:00,20.573343897987513,20.573343897987513 
 06/26  04:00:00,20.058834951600733,20.058834951600733 
 06/26  05:00:00,19.57841112942544,19.57841112942544 
 06/26  06:00:00,19.229246080318756,19.229246080318756 
 06/26  07:00:00,19.067378206238494,19.067378206238494 
 06/26  08:00:00,19.03784395401236,19.03784395401236 
 06/26  09:00:00,19.24240728081252,19.24240728081252 
 06/26  10:00:00,19.771865164560495,19.771865164560495 
 06/26  11:00:00,20.495330920673435,20.495330920673435 
 06/26  12:00:00,21.283188527862425,21.283188527862425 
 06/26  13:00:00,22.086640862437534,22.086640862437534 
 06/26  14:00:00,22.82174182353295,22.82174182353295 
 06/26  15:00:00,23.496244773438807,23.496244773438807 
 06/26  16:00:00,24.05406200508476,24.05406200508476 
 06/26  17:00:00,24.41099480557128,24.41099480557128 
 06/26  18:00:00,24.576869336581062,24.576869336581062 
 06/26  19:00:00,24.58385511466201,24.58385511466201 
 06/26  20:00:00,24.338422727878566,24.338422727878566 
 06/26  21:00:00,23.964160487743705,23.964160487743705 
 06/26  22:00:00,23.521436527970884,23.521436527970884 
 06/26  23:00:00,22.985477722317768,22.985477722317768 
 06/26  24:00:00,22.396290042899402,22.396290042899402 
