Date/Time,MAINZONE:Zone Mean Air Temperature [C](Hourly),MAINZONE:Zone Air Temperature [C](Hourly) 
 06/26  01:00:00,21.280813456689614,21.280813456689614 
 06/26  02:00:00,20.60617904831563,20.60617904831563 
 06/26  03:00:00,20.005851257753154,20.005851257753154 
 06/26  04:00:00,19.471822896479136,19.471822896479136 
 06/26  05:00:00,18.974133387423045,18.974133387423045 
 06/26  06:00:00,18.67935987991641,18.67935987991641 
 06/26  07:00:00,18.646314567578827,18.646314567578827 
 06/26  08:00:00,18.696261733832912,18.696261733832912 
 06/26  09:00:00,18.98285792740687,18.98285792740687 
 06/26  10:00:00,19.59890902689039,19.59890902689039 
 06/26  11:00:00,20.397584322641062,20.397584322641062 
 06/26  12:00:00,21.246837814653404,21.246837814653404 
 06/26  13:00:00,22.106048498557325,22.106048498557325 
 06/26  14:00:00,22.886690229377596,22.886690229377596 
 06/26  15:00:00,23.597867095517124,23.597867095517124 
 06/26  16:00:00,24.1755921309801,24.1755921309801 
 06/26  17:00:00,24.52613181012078,24.52613181012078 
 06/26  18:00:00,24.660434193341562,24.660434193341562 
 06/26  19:00:00,24.60883268618553,24.60883268618553 
 06/26  20:00:00,24.2772046252489,24.2772046252489 
 06/26  21:00:00,23.804764221455375,23.804764221455375 
 06/26  22:00:00,23.271545032090124,23.271545032090124 
 06/26  23:00:00,22.652228661506406,22.652228661506406 
 06/26  24:00:00,21.989357858153618,21.989357858153618 
