Date/Time,MAINZONE:Zone Mean Air Temperature [C](Hourly),MAINZONE:Zone Air Temperature [C](Hourly) 
 06/26  01:00:00,21.735869604884666,21.735869604884666 
 06/26  02:00:00,21.115513139394626,21.115513139394626 
 06/26  03:00:00,20.550804380912837,20.550804380912837 
 06/26  04:00:00,20.036212065084772,20.036212065084772 
 06/26  05:00:00,19.55578237009786,19.55578237009786 
 06/26  06:00:00,19.208999636414916,19.208999636414916 
 06/26  07:00:00,19.05083650788894,19.05083650788894 
 06/26  08:00:00,19.02394605121303,19.02394605121303 
 06/26  09:00:00,19.231046283237713,19.231046283237713 
 06/26  10:00:00,19.7630626543761,19.7630626543761 
 06/26  11:00:00,20.48878423809482,20.48878423809482 
 06/26  12:00:00,21.277821678687964,21.277821678687964 
 06/26  13:00:00,22.08215695485483,22.08215695485483 
 06/26  14:00:00,22.81774923951078,22.81774923951078 
 06/26  15:00:00,23.49254371743767,23.49254371743767 
 06/26  16:00:00,24.05025123683493,24.05025123683493 
 06/26  17:00:00,24.406386407827213,24.406386407827213 
 06/26  18:00:00,24.570907406118764,24.570907406118764 
 06/26  19:00:00,24.575956854090265,24.575956854090265 
 06/26  20:00:00,24.328046880322958,24.328046880322958 
 06/26  21:00:00,23.951102547949226,23.951102547949226 
 06/26  22:00:00,23.506149424803873,23.506149424803873 
 06/26  23:00:00,22.968193719369793,22.968193719369793 
 06/26  24:00:00,22.37726838549569,22.37726838549569 
