Date/Time,MAINZONE:Zone Mean Air Temperature [C](Hourly),MAINZONE:Zone Air Temperature [C](Hourly) 
 06/26  01:00:00,21.292958826510617,21.292958826510617 
 06/26  02:00:00,20.61918115906969,20.61918115906969 
 06/26  03:00:00,20.019375779289817,20.019375779289817 
 06/26  04:00:00,19.485621944563977,19.485621944563977 
 06/26  05:00:00,18.988439790732034,18.988439790732034 
 06/26  06:00:00,18.69268301179163,18.69268301179163 
 06/26  07:00:00,18.655786833984784,18.655786833984784 
 06/26  08:00:00,18.7037940987316,18.7037940987316 
 06/26  09:00:00,18.988830540154044,18.988830540154044 
 06/26  10:00:00,19.603437500850106,19.603437500850106 
 06/26  11:00:00,20.40091147342931,20.40091147342931 
 06/26  12:00:00,21.249489451326912,21.249489451326912 
 06/26  13:00:00,22.108245590557303,22.108245590557303 
 06/26  14:00:00,22.888640678935175,22.888640678935175 
 06/26  15:00:00,23.5996755034592,23.5996755034592 
 06/26  16:00:00,24.177478805711036,24.177478805711036 
 06/26  17:00:00,24.528483625658378,24.528483625658378 
 06/26  18:00:00,24.66355060979871,24.66355060979871 
 06/26  19:00:00,24.61308664250406,24.61308664250406 
 06/26  20:00:00,24.282970037988754,24.282970037988754 
 06/26  21:00:00,23.8121361975385,23.8121361975385 
 06/26  22:00:00,23.28029262175616,23.28029262175616 
 06/26  23:00:00,22.662215636193757,22.662215636193757 
 06/26  24:00:00,22.00043311931651,22.00043311931651 
