Date/Time,MAINZONE:Zone Mean Air Temperature [C](Hourly),MAINZONE:Zone Air Temperature [C](Hourly) 
 06/26  01:00:00,21.708721396964886,21.708721396964886 
 06/26  02:00:00,21.086727073247285,21.086727073247285 
 06/26  03:00:00,20.521199526100823,20.521199526100823 
 06/26  04:00:00,20.006492187685577,20.006492187685577 
 06/26  05:00:00,19.52605795887051,19.52605795887051 
 06/26  06:00:00,19.182522594384512,19.182522594384512 
 06/26  07:00:00,19.029174331021434,19.029174331021434 
 06/26  08:00:00,19.00577476933951,19.00577476933951 
 06/26  09:00:00,19.21621075296374,19.21621075296374 
 06/26  10:00:00,19.75157812874521,19.75157812874521 
 06/26  11:00:00,20.48025063338644,20.48025063338644 
 06/26  12:00:00,21.27083848995625,21.27083848995625 
 06/26  13:00:00,22.076322435496884,22.076322435496884 
 06/26  14:00:00,22.812550881221746,22.812550881221746 
 06/26  15:00:00,23.487720917064518,23.487720917064518 
 06/26  16:00:00,24.045279102305305,24.045279102305305 
 06/26  17:00:00,24.400364718660406,24.400364718660406 
 06/26  18:00:00,24.563034091461155,24.563034091461155 
 06/26  19:00:00,24.565577750048305,24.565577750048305 
 06/26  20:00:00,24.314384792951618,24.314384792951618 
 06/26  21:00:00,23.933959959108435,23.933959959108435 
 06/26  22:00:00,23.486081328291387,23.486081328291387 
 06/26  23:00:00,22.945503925116217,22.945503925116217 
 06/26  24:00:00,22.352296355091042,22.352296355091042 
