Date/Time,MAINZONE:Zone Mean Air Temperature [C](Hourly),MAINZONE:Zone Air Temperature [C](Hourly) 
 06/26  01:00:00,21.630896728461835,21.630896728461835 
 06/26  02:00:00,21.004152666029892,21.004152666029892 
 06/26  03:00:00,20.436225249364075,20.436225249364075 
 06/26  04:00:00,19.921132327879473,19.921132327879473 
 06/26  05:00:00,19.440656847429402,19.440656847429402 
 06/26  06:00:00,19.106900486650815,19.106900486650815 
 06/26  07:00:00,18.967384931269567,18.967384931269567 
 06/26  08:00:00,18.954112495681073,18.954112495681073 
 06/26  09:00:00,19.174132273532393,19.174132273532393 
 06/26  10:00:00,19.71904867270122,19.71904867270122 
 06/26  11:00:00,20.45609084737859,20.45609084737859 
 06/26  12:00:00,21.251155347412496,21.251155347412496 
 06/26  13:00:00,22.059875325474156,22.059875325474156 
 06/26  14:00:00,22.79788098823659,22.79788098823659 
 06/26  15:00:00,23.474091521247882,23.474091521247882 
 06/26  16:00:00,24.031195965481032,24.031195965481032 
 06/26  17:00:00,24.38326299672478,24.38326299672478 
 06/26  18:00:00,24.540837847860022,24.540837847860022 
 06/26  19:00:00,24.536087550186785,24.536087550186785 
 06/26  20:00:00,24.275374496116388,24.275374496116388 
 06/26  21:00:00,23.88497580628642,23.88497580628642 
 06/26  22:00:00,23.428670255698407,23.428670255698407 
 06/26  23:00:00,22.880542272459905,22.880542272459905 
 06/26  24:00:00,22.280758642442475,22.280758642442475 
