Date/Time,MAINZONE:Zone Mean Air Temperature [C](Hourly),MAINZONE:Zone Air Temperature [C](Hourly) 
 06/26  01:00:00,21.782514307720703,21.782514307720703 
 06/26  02:00:00,21.165009282231395,21.165009282231395 
 06/26  03:00:00,20.601739213038027,20.601739213038027 
 06/26  04:00:00,20.087368969849845,20.087368969849845 
 06/26  05:00:00,19.606997142661783,19.606997142661783 
 06/26  06:00:00,19.25508759302892,19.25508759302892 
 06/26  07:00:00,19.088371073272945,19.088371073272945 
 06/26  08:00:00,19.05552055071014,19.05552055071014 
 06/26  09:00:00,19.256877413378447,19.256877413378447 
 06/26  10:00:00,19.783075791720535,19.783075791720535 
 06/26  11:00:00,20.50364991417815,20.50364991417815 
 06/26  12:00:00,21.289973922618756,21.289973922618756 
 06/26  13:00:00,22.09225629913455,22.09225629913455 
 06/26  14:00:00,22.82668915515421,22.82668915515421 
 06/26  15:00:00,23.50078472757638,23.50078472757638 
 06/26  16:00:00,24.058712623244816,24.058712623244816 
 06/26  17:00:00,24.41662883465725,24.41662883465725 
 06/26  18:00:00,24.584192831274848,24.584192831274848 
 06/26  19:00:00,24.593599892949836,24.593599892949836 
 06/26  20:00:00,24.35141167028562,24.35141167028562 
 06/26  21:00:00,23.980400005339174,23.980400005339174 
 06/26  22:00:00,23.540502762119317,23.540502762119317 
 06/26  23:00:00,23.007091620561386,23.007091620561386 
 06/26  24:00:00,22.42013238406893,22.42013238406893 
