Date/Time,MAINZONE:Zone Mean Air Temperature [C](Hourly),MAINZONE:Zone Air Temperature [C](Hourly) 
 06/26  01:00:00,21.55477231683483,21.55477231683483 
 06/26  02:00:00,20.92331195299966,20.92331195299966 
 06/26  03:00:00,20.352965744513455,20.352965744513455 
 06/26  04:00:00,19.837414460443334,19.837414460443334 
 06/26  05:00:00,19.35681621163006,19.35681621163006 
 06/26  06:00:00,19.03353846321531,19.03353846321531 
 06/26  07:00:00,18.90737788747891,18.90737788747891 
 06/26  08:00:00,18.904227780617216,18.904227780617216 
 06/26  09:00:00,19.13366304338739,19.13366304338739 
 06/26  10:00:00,19.687840971043485,19.687840971043485 
 06/26  11:00:00,20.432902897475184,20.432902897475184 
 06/26  12:00:00,21.232435849698863,21.232435849698863 
 06/26  13:00:00,22.04422160191872,22.04422160191872 
 06/26  14:00:00,22.783884665386815,22.783884665386815 
 06/26  15:00:00,23.46104791222099,23.46104791222099 
 06/26  16:00:00,24.01766035416638,24.01766035416638 
 06/26  17:00:00,24.366753813606202,24.366753813606202 
 06/26  18:00:00,24.519339137437285,24.519339137437285 
 06/26  19:00:00,24.507453165511336,24.507453165511336 
 06/26  20:00:00,24.237388482242658,24.237388482242658 
 06/26  21:00:00,23.837212715833886,23.837212715833886 
 06/26  22:00:00,23.37263217032963,23.37263217032963 
 06/26  23:00:00,22.81708919481946,22.81708919481946 
 06/26  24:00:00,22.2108414743682,22.2108414743682 
