Date/Time,MAINZONE:Zone Mean Air Temperature [C](Hourly),MAINZONE:Zone Air Temperature [C](Hourly) 
 06/26  01:00:00,21.62157527549771,21.62157527549771 
 06/26  02:00:00,20.994258016799375,20.994258016799375 
 06/26  03:00:00,20.426038883975647,20.426038883975647 
 06/26  04:00:00,19.91089502171021,19.91089502171021 
 06/26  05:00:00,19.4304110094566,19.4304110094566 
 06/26  06:00:00,19.097867123167244,19.097867123167244 
 06/26  07:00:00,18.96001578505784,18.96001578505784 
 06/26  08:00:00,18.94796944626239,18.94796944626239 
 06/26  09:00:00,19.169139357570735,19.169139357570735 
 06/26  10:00:00,19.71519357734769,19.71519357734769 
 06/26  11:00:00,20.453228760333378,20.453228760333378 
 06/26  12:00:00,21.248833256384415,21.248833256384415 
 06/26  13:00:00,22.057933756052805,22.057933756052805 
 06/26  14:00:00,22.796146444531303,22.796146444531303 
 06/26  15:00:00,23.472476918599362,23.472476918599362 
 06/26  16:00:00,24.029523529926585,24.029523529926585 
 06/26  17:00:00,24.38122747383678,24.38122747383678 
 06/26  18:00:00,24.53819167805486,24.53819167805486 
 06/26  19:00:00,24.53256777217542,24.53256777217542 
 06/26  20:00:00,24.270711290941446,24.270711290941446 
 06/26  21:00:00,23.879117421299313,23.879117421299313 
 06/26  22:00:00,23.421800689843863,23.421800689843863 
 06/26  23:00:00,22.872766722713873,22.872766722713873 
 06/26  24:00:00,22.272193699621806,22.272193699621806 
